rte,dir,rte_desc,dir_desc,stop_id,stop_name
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,13170,SW Broadway & W Burnside
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,7631,SW 5th & Pine
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,7625,SW 5th & Morrison
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,7612,SW 5th & Madison
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,7616,SW 5th & Market
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,10491,SW 5th & Hall
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,7588,SW 5th & Broadway
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,7591,SW 5th & Caruthers
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,175,SW Barbur & Hooker
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,196,SW Barbur & Whitaker
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,176,SW Barbur & Lane
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,173,SW Barbur & Hamilton
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,155,4900 Block SW Barbur
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,181,SW Barbur & Parkhill Dr
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,207,SW Barbur & 3rd
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,191,SW Barbur & Terwilliger
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,199,SW Barbur & Bertha
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,9033,SW Bertha & Chestnut
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,1056,SW Chestnut & 14th
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,12467,SW Chestnut & 12th Dr
1,0,1-Vermont,To Hayhurst and Maplewood via Vermont,6026,SW Vermont & Chestnut
