LOCATION_ID,ZONEGEN_CL
2,SFR
3,MUR
4,SFR
6,SFR
7,SFR
8,MUR
9,SFR
10,SFR
11,SFR
12,SFR
13,SFR
14,SFR
16,COM
17,COM
20,SFR
21,SFR
26,SFR
28,MUR
30,MUR
31,MUR
32,MUR
33,MUR
34,MUR
35,COM
40,POS
41,SFR
42,SFR
43,SFR
44,POS
45,MFR
46,MUR
48,MUR
49,MUR
50,MUR
51,MUR
52,MUR
53,MUR
54,MUR
55,MUR
60,MUR
61,MUR
63,MUR
64,MUR
67,IND
68,SFR
69,MUR
70,MUR
71,POS
72,MFR
73,MUR
74,MUR
76,MUR
77,MUR
78,MFR
79,MFR
80,MFR
81,MFR
82,MFR
83,MFR
88,COM
89,MUR
90,MUR
91,MUR
92,MUR
93,MUR
99,MFR
100,MFR
101,MFR
102,MUR
103,COM
104,MFR
105,MFR
106,MUR
108,MFR
111,MFR
112,MFR
113,MFR
114,MFR
115,IND
118,IND
121,COM
122,SFR
123,SFR
124,SFR
125,SFR
126,COM
131,SFR
132,SFR
134,SFR
135,COM
136,COM
137,COM
140,COM
141,COM
143,MUR
146,MUR
147,MUR
152,MUR
153,MUR
154,MUR
155,POS
156,MFR
159,MUR
162,MUR
163,MUR
165,MUR
168,MUR
170,MUR
172,MUR
173,MUR
174,POS
175,MUR
176,MUR
177,MUR
178,MUR
179,MFR
180,MUR
181,SFR
182,SFR
183,MUR
184,MUR
187,MUR
191,MUR
193,MUR
195,MFR
196,MFR
199,MUR
200,MUR
201,MFR
202,MUR
203,SFR
207,SFR
208,MUR
209,MUR
210,MUR
211,MUR
212,MUR
227,MFR
228,MFR
230,SFR
231,PF
233,MUR
234,MFR
235,PF
236,SFR
237,SFR
238,SFR
239,MUR
240,PF
241,MUR
247,MUR
251,SFR
252,SFR
253,SFR
255,SFR
256,COM
257,COM
259,MUR
260,SFR
261,SFR
263,COM
264,COM
265,SFR
267,COM
268,COM
269,SFR
271,MUR
272,MUR
273,MUR
275,MUR
277,MUR
278,SFR
279,SFR
280,MUR
284,MUR
285,COM
286,COM
287,COM
288,SFR
290,RUR
291,RUR
292,RUR
293,FUD
296,RUR
297,COM
298,COM
300,COM
301,SFR
302,SFR
303,COM
305,SFR
306,SFR
307,MUR
308,MUR
310,MUR
313,IND
314,IND
315,IND
316,IND
317,IND
318,IND
319,IND
320,IND
321,IND
322,IND
324,IND
325,MFR
326,MFR
327,MFR
328,MFR
329,MFR
331,COM
332,COM
333,COM
335,MUR
336,MFR
340,SFR
341,MUR
342,MUR
343,MUR
344,MUR
345,MUR
346,SFR
347,MUR
348,COM
349,MUR
350,COM
351,MUR
352,MUR
354,MUR
355,MUR
356,COM
357,MUR
358,MUR
359,MUR
360,MUR
361,MUR
362,MUR
363,MUR
364,MFR
365,MFR
366,POS
367,MFR
368,MFR
369,MFR
370,MFR
371,SFR
372,MFR
373,MFR
374,MFR
375,MUR
376,MUR
377,MFR
378,MFR
379,MFR
380,MFR
381,MUR
382,MFR
383,COM
384,MUR
385,SFR
386,COM
387,COM
388,MUR
389,MUR
390,MUR
394,SFR
395,COM
396,SFR
397,SFR
398,SFR
400,MUR
402,MUR
404,SFR
406,POS
408,MUR
410,MUR
417,MUR
418,MUR
422,MUR
423,MUR
425,MUR
426,MUR
427,MUR
428,MUR
429,MFR
430,MFR
435,MUR
436,MUR
439,MUR
440,SFR
442,MFR
443,SFR
444,MFR
445,SFR
446,MFR
448,MFR
449,MFR
450,MFR
451,MUR
453,MFR
454,MFR
456,SFR
457,SFR
459,SFR
460,SFR
465,IND
467,MFR
469,SFR
470,SFR
471,SFR
492,SFR
495,IND
496,MFR
500,SFR
501,SFR
502,SFR
506,SFR
507,SFR
510,SFR
512,MUR
513,IND
514,IND
515,SFR
516,SFR
517,SFR
520,SFR
521,COM
522,IND
529,MUR
530,MFR
531,SFR
534,FUD
536,MUR
537,COM
538,MUR
539,SFR
542,SFR
543,PF
545,POS
553,SFR
554,SFR
558,COM
562,SFR
563,SFR
564,MUR
565,SFR
566,SFR
568,MFR
569,SFR
570,COM
576,MUR
577,SFR
580,RUR
581,SFR
583,SFR
584,MUR
593,SFR
595,SFR
596,POS
597,SFR
598,SFR
599,SFR
600,SFR
611,MUR
622,MUR
625,MUR
627,MUR
629,MUR
631,MUR
633,MUR
634,MUR
635,MUR
636,MUR
637,MUR
638,MUR
639,MUR
642,MUR
644,MUR
646,MUR
647,MUR
648,MUR
649,MUR
650,MUR
654,MUR
655,MUR
656,MUR
672,MFR
682,SFR
685,SFR
686,POS
687,SFR
689,MUR
690,POS
691,POS
696,SFR
697,MUR
701,SFR
702,SFR
704,MUR
706,POS
707,POS
710,SFR
711,SFR
712,SFR
713,SFR
718,MUR
723,MUR
725,MUR
726,MUR
730,MUR
735,MUR
740,MUR
742,MUR
747,MUR
749,MUR
755,MUR
759,MUR
760,MUR
763,MUR
764,MUR
768,MUR
769,MUR
770,SFR
771,SFR
774,SFR
775,SFR
776,SFR
777,SFR
778,MUR
779,MFR
780,SFR
781,SFR
782,MUR
785,MFR
786,MFR
787,MUR
788,MUR
791,MFR
792,MUR
793,MUR
794,MUR
