"","name","rte","dir","rte_desc","dir_desc","type","stop_seq","stop_name","jurisdic","zipcode","frequent","degree","betweenness","closeness"
"1",13170,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",50,"SW Broadway & W Burnside","Portland","97205","False",3,3763200.10724901,6.2293652276833e-06
"2",7631,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",100,"SW 5th & Pine","Portland","97204","False",16,7800329.19749219,6.32703160984992e-06
"3",7625,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",150,"SW 5th & Morrison","Portland","97204","False",12,6341099.40904828,6.34312500396445e-06
"4",7612,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",200,"SW 5th & Madison","Portland","97204","False",6,739744.409818805,6.27825213460573e-06
"5",7616,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",250,"SW 5th & Market","Portland","97201","False",6,1923528.84402269,6.20289675278355e-06
"6",10491,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",300,"SW 5th & Hall","Portland","97201","False",8,2232183.12579511,6.18406243429434e-06
"7",7588,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",350,"SW 5th & Broadway","Portland","97201","False",8,900004.882013315,6.01427789572445e-06
"8",7591,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",400,"SW 5th & Caruthers","Portland","97201","False",6,747496.011570364,5.84757705644666e-06
"9",175,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",450,"SW Barbur & Hooker","Portland","97201","False",6,747526.011570364,5.7153308033469e-06
"10",196,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",550,"SW Barbur & Whitaker","Portland","97239","False",6,747556.011570364,5.60377918868485e-06
"11",176,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",650,"SW Barbur & Lane","Portland","97239","False",6,747586.011570363,5.57109271412495e-06
"12",173,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",700,"SW Barbur & Hamilton","Portland","97239","False",14,2524454.37082302,5.72131475813142e-06
"13",155,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",750,"4900 Block SW Barbur","Portland","97239","False",14,2524484.37082302,5.57565890349092e-06
"14",181,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",800,"SW Barbur & Parkhill Dr","Portland","97239","False",6,1106700.43418491,5.47699116013627e-06
"15",207,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",850,"SW Barbur & 3rd","Portland","97219","False",6,1106730.43418491,5.38801812529297e-06
"16",191,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",900,"SW Barbur & Terwilliger","Portland","97219","False",8,877782.818437825,5.25287332170697e-06
"17",199,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",950,"SW Barbur & Bertha","Portland","97219","False",10,1133308.82581312,5.16982887866412e-06
"18",9033,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1000,"SW Bertha & Chestnut","Portland","97219","False",6,167913.886848118,5.05423190837688e-06
"19",1056,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1050,"SW Chestnut & 14th","Portland","97219","False",2,71757.130839961,4.90549562675065e-06
"20",12467,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1100,"SW Chestnut & 12th Dr","Portland","97219","False",2,71787.130839961,4.76562648925828e-06
"21",6026,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1150,"SW Vermont & Chestnut","Portland","97219","False",2,71817.130839961,4.63383440529369e-06
"22",6032,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1200,"SW Vermont & 13th","Portland","97219","False",2,71847.1308399611,4.51298159154809e-06
"23",6024,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1250,"SW Vermont & Bertha","Portland","97219","False",2,71877.1308399612,4.54485545087238e-06
"24",6018,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1300,"2200 Block SW Vermont","Portland","97219","False",2,71907.1308399612,4.60460276091982e-06
"25",6034,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1350,"SW Vermont & 24th","Portland","97219","False",2,71937.1308399612,4.71662516036526e-06
"26",966,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1400,"SW Capitol & 26th","Portland","97219","False",6,839011.383493433,4.84622914909909e-06
"27",6035,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1450,"SW Vermont & 30th","Portland","97239","False",4,369910.313193557,4.70918432218355e-06
"28",6037,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1500,"SW Vermont & 32nd","Portland","97219","False",4,369940.313193557,4.58032749341578e-06
"29",13768,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1550,"SW Vermont & 34th","Portland","97219","False",4,369970.313193557,4.46054204506932e-06
"30",6041,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1600,"SW Vermont & 37th","Portland","97219","False",2,333718.313189106,4.34480361487661e-06
"31",6043,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1650,"SW Vermont & 42nd","Portland","97219","False",2,333748.313189106,4.23657007286901e-06
"32",6029,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1700,"SW Vermont & Idaho Dr","Portland","97219","False",3,333778.313189106,4.1351020543187e-06
"33",6028,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1750,"SW Vermont & Idaho","Portland","97221","False",2,260956.313189106,4.03328264841472e-06
"34",6047,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1800,"SW Vermont & 50th","Portland","97219","False",2,260986.313189106,3.93638797039836e-06
"35",6049,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1850,"SW Vermont & 52nd","Portland","97219","False",2,261016.313189106,3.84406917786893e-06
"36",6050,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1900,"SW Vermont & 55th","Portland","97219","False",2,261046.313189106,3.75600961538462e-06
"37",6019,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",1950,"5700 Block SW Vermont","Portland","97219","False",4,340792.313189106,3.67192118588367e-06
"38",6051,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",2000,"SW Vermont & 60th","Portland","97219","False",4,340822.313189106,3.59130903214222e-06
"39",6052,1,0,"1-Vermont","To Hayhurst and Maplewood via Vermont","BUS",2050,"SW Vermont & 63rd","Portland","97219","False",4,340852.313189106,3.51416030896497e-06
